region,status,vendor,model,missing_in_inventory
northeast,degraded,Cisco,Catalyst9300,0
northwest,degraded,ADVA,FSP150,0
northwest,degraded,ADVA,FSP150,0
east,active,ADVA,FSP150,0
,degraded,Juniper,SRX345,0
central,down,Arista,7280R,0
southwest,active,Juniper,QFX5120,0
northwest,active,,,1
central,active,Juniper,SRX345,0
,down,Cisco,Catalyst9300,0
central,active,Arista,7050X3,0
east,active,Cisco,Catalyst9300,0
east,degraded,Cisco,ISR4431,0
southeast,active,Arista,7050X3,0
,degraded,Cisco,ISR4431,0
central,active,Cisco,Catalyst9300,0
northwest,active,,,1
northeast,degraded,Cisco,Catalyst9300,0
,active,,,1
northwest,active,Arista,7050X3,0
west,active,ADVA,FSP150,0
east,active,,,1
west,active,Juniper,QFX5120,0
southwest,active,Cisco,Catalyst9300,0
northeast,active,,,1
northwest,retired,Cisco,Catalyst9300,0
northwest,active,Cisco,Catalyst9300,0
northeast,retired,Arista,7050X3,0
east,degraded,,,1
southeast,active,Cisco,Catalyst9300,0
southeast,active,Arista,7050X3,0
northeast,active,Cisco,Catalyst9300,0
northeast,active,ADVA,FSP150,0
west,degraded,Nokia,7750 SR-1,0
west,active,Arista,7050X3,0
west,degraded,ADVA,FSP150,0
east,active,Juniper,QFX5120,0
central,active,Arista,7050X3,0
,active,,,1
east,degraded,Juniper,QFX5120,0
northeast,active,RAD,ETX-2,0
northeast,degraded,Cisco,Catalyst9300,0
east,active,Arista,7280R,0
northwest,degraded,Arista,7280R,0
northwest,degraded,Cisco,Catalyst9300,0
west,active,Cisco,Catalyst9300,0
northeast,active,Juniper,QFX5120,0
southeast,active,Cisco,Catalyst9300,0
west,active,,,1
northwest,active,Cisco,ISR4431,0
northeast,retired,RAD,ETX-2,0
west,active,Arista,7280R,0
northeast,active,,,1
southwest,active,Cisco,Catalyst9300,0
northeast,active,Cisco,Catalyst9300,0
west,degraded,Cisco,ISR4431,0
central,active,Cisco,Catalyst9300,0
,degraded,Juniper,QFX5120,0
southwest,degraded,,,1
southwest,degraded,Cisco,NCS540,0
,degraded,Juniper,QFX5120,0
northwest,active,,,1
west,active,Juniper,QFX5120,0
northeast,down,Nokia,7750 SR-1,0
west,active,,,1
northwest,degraded,Cisco,Catalyst9300,0
southeast,active,Arista,7050X3,0
northeast,active,Juniper,QFX5120,0
northwest,active,Cisco,Catalyst9300,0
east,degraded,Arista,7280R,0
east,active,ADVA,FSP150,0
northeast,active,Juniper,QFX5120,0
southwest,degraded,Cisco,Catalyst9300,0
west,down,RAD,ETX-2,0
northwest,active,Juniper,QFX5120,0
northwest,active,,,1
southwest,degraded,Cisco,NCS540,0
central,down,Cisco,Catalyst9300,0
southeast,active,Cisco,Catalyst9300,0
northwest,active,Cisco,Catalyst9300,0
northeast,degraded,ADVA,FSP3000,0
west,retired,Arista,7050X3,0
west,down,,,1
northwest,degraded,RAD,ETX-2,0
west,degraded,,,1
,active,RAD,ETX-2,0
northeast,degraded,Juniper,QFX5120,0
west,active,Cisco,Catalyst9300,0
northwest,active,Cisco,Catalyst9300,0
west,active,ADVA,FSP3000,0
northwest,active,ADVA,FSP150,0
,retired,Cisco,Catalyst9300,0
west,active,Cisco,Catalyst9300,0
northeast,active,Cisco,Catalyst9300,0
southwest,active,ADVA,FSP150,0
northwest,degraded,,,1
northeast,active,ADVA,FSP3000,0
west,active,Juniper,SRX345,0
northeast,active,ADVA,FSP150,0
northeast,active,Juniper,QFX5120,0
central,retired,Arista,7050X3,0
northwest,active,Cisco,Catalyst9300,0
west,active,,,1
northwest,active,ADVA,FSP3000,0
west,active,Juniper,QFX5120,0
west,degraded,Juniper,QFX5120,0
southeast,active,Arista,7050X3,0
,active,,,1
west,degraded,Juniper,QFX5120,0
northwest,degraded,Cisco,Catalyst9300,0
northeast,active,ADVA,FSP150,0
east,active,Nokia,7750 SR-1,0
southwest,down,Juniper,QFX5120,0
west,active,,,1
west,degraded,ADVA,FSP3000,0
northwest,degraded,RAD,ETX-2,0
northwest,active,Cisco,Catalyst9300,0
east,active,Juniper,QFX5120,0
west,down,Juniper,SRX345,0
east,active,,,1
west,active,Cisco,Catalyst9300,0
west,retired,Cisco,Catalyst9300,0
northwest,active,,,1
west,active,ADVA,FSP150,0
northwest,active,RAD,ETX-2,0
east,active,,,1
central,down,Cisco,ISR4431,0
,active,ADVA,FSP3000,0
central,active,Arista,7050X3,0
west,active,Cisco,ISR4431,0
west,degraded,Cisco,Catalyst9300,0
,active,Cisco,NCS540,0
northeast,active,Cisco,Catalyst9300,0
northwest,active,ADVA,FSP150,0
southwest,active,Juniper,QFX5120,0
northeast,retired,ADVA,FSP150,0
northeast,degraded,ADVA,FSP150,0
central,active,ADVA,FSP150,0
northwest,active,,,1
east,active,RAD,ETX-2,0
southwest,active,Juniper,MX204,0
southwest,active,Cisco,Catalyst9300,0
east,active,,,1
west,active,Nokia,7750 SR-1,0
central,degraded,Arista,7050X3,0
west,active,ADVA,FSP150,0
northwest,active,Cisco,NCS540,0
,active,ADVA,FSP150,0
northeast,active,Cisco,NCS540,0
west,active,ADVA,FSP3000,0
west,degraded,ADVA,FSP150,0
southwest,active,,,1
west,active,Juniper,QFX5120,0
west,active,,,1
central,degraded,ADVA,FSP3000,0
,degraded,ADVA,FSP150,0
west,active,Cisco,NCS540,0
central,active,Cisco,Catalyst9300,0
southeast,active,Arista,7050X3,0
west,active,Arista,7050X3,0
northeast,active,Cisco,Catalyst9300,0
southeast,active,,,1
,active,Arista,7050X3,0
west,active,,,1
east,down,Arista,7050X3,0
,active,ADVA,FSP3000,0
northeast,active,,,1
northwest,active,Arista,7050X3,0
,active,Arista,7050X3,0
west,degraded,ADVA,FSP150,0
west,degraded,RAD,ETX-2,0
east,down,ADVA,FSP150,0
,degraded,Cisco,Catalyst9300,0
northwest,active,Arista,7050X3,0
southeast,degraded,Arista,7280R,0
northwest,retired,Juniper,QFX5120,0
southeast,active,,,1
west,down,Arista,7050X3,0
,active,Cisco,Catalyst9300,0
northwest,active,Arista,7050X3,0
east,active,Cisco,Catalyst9300,0
northwest,active,ADVA,FSP150,0
northwest,active,ADVA,FSP150,0
southwest,active,,,1
northeast,active,Arista,7050X3,0
southwest,active,ADVA,FSP150,0
,active,ADVA,FSP3000,0
northwest,active,Cisco,Catalyst9300,0
east,degraded,ADVA,FSP150,0
northeast,active,Cisco,Catalyst9300,0
northwest,degraded,,,1
east,active,Cisco,Catalyst9300,0
northwest,active,Cisco,ISR4431,0
northwest,active,Juniper,SRX345,0
central,active,,,1
southwest,active,Arista,7280R,0
west,degraded,Cisco,NCS540,0
northeast,active,,,1
northwest,active,,,1
northwest,active,ADVA,FSP150,0
,active,Nokia,7750 SR-1,0
northwest,degraded,,,1
east,active,,,1
northwest,degraded,Cisco,ISR4431,0
southeast,degraded,Arista,7280R,0
,active,Arista,7050X3,0
southwest,degraded,RAD,ETX-2,0
east,down,,,1
northwest,active,ADVA,FSP150,0
northeast,active,ADVA,FSP3000,0
,active,,,1
central,active,Juniper,SRX345,0
northeast,active,Arista,7050X3,0
west,active,ADVA,FSP150,0
west,active,ADVA,FSP150,0
west,retired,Cisco,Catalyst9300,0
southeast,active,Cisco,ISR4431,0
west,retired,,,1
central,active,ADVA,FSP150,0
southwest,active,Arista,7050X3,0
east,degraded,,,1
east,active,Cisco,Catalyst9300,0
central,active,ADVA,FSP3000,0
southeast,active,ADVA,FSP3000,0
southwest,active,Arista,7280R,0
northeast,down,Arista,7050X3,0
southwest,active,Cisco,Catalyst9300,0
west,active,,,1
west,active,Juniper,QFX5120,0
east,active,Juniper,QFX5120,0
northwest,active,Arista,7050X3,0
east,degraded,Arista,7050X3,0
,active,RAD,ETX-2,0
northwest,active,ADVA,FSP150,0
northwest,active,,,1
northeast,degraded,Juniper,QFX5120,0
southwest,active,Juniper,QFX5120,0
northwest,active,Juniper,SRX345,0
west,active,Cisco,Catalyst9300,0
northeast,active,Cisco,Catalyst9300,0
northwest,active,Juniper,QFX5120,0
west,active,Juniper,SRX345,0
west,active,Arista,7280R,0
central,degraded,Cisco,NCS540,0
northwest,down,,,1
southwest,degraded,Juniper,SRX345,0
,active,Juniper,QFX5120,0
northeast,active,ADVA,FSP150,0
northwest,active,ADVA,FSP150,0
central,active,Arista,7280R,0
northwest,active,Arista,7050X3,0
northeast,active,,,1
west,active,ADVA,FSP150,0
northwest,down,ADVA,FSP3000,0
northeast,active,Juniper,SRX345,0
northeast,active,,,1
southeast,down,Juniper,QFX5120,0
northeast,active,Arista,7050X3,0
northwest,active,,,1
southwest,active,ADVA,FSP150,0
west,down,,,1
northwest,active,,,1
east,degraded,Cisco,Catalyst9300,0
northeast,degraded,Arista,7280R,0
northeast,active,Juniper,MX204,0
northwest,active,Arista,7050X3,0
central,retired,Cisco,ISR4431,0
northwest,degraded,Cisco,Catalyst9300,0
northeast,degraded,ADVA,FSP150,0
central,active,Cisco,Catalyst9300,0
northwest,active,Cisco,Catalyst9300,0
northwest,active,Cisco,Catalyst9300,0
northeast,active,Cisco,ISR4431,0
northwest,active,Arista,7050X3,0
northwest,down,Cisco,Catalyst9300,0
west,active,Cisco,ISR4431,0
northwest,active,ADVA,FSP150,0
northwest,active,Arista,7050X3,0
southeast,degraded,Juniper,QFX5120,0
northwest,degraded,Arista,7050X3,0
northwest,degraded,ADVA,FSP150,0
northeast,down,Cisco,Catalyst9300,0
east,active,Arista,7050X3,0
central,down,Cisco,Catalyst9300,0
northwest,active,RAD,ETX-2,0
west,active,Juniper,SRX345,0
west,down,,,1
northwest,active,Juniper,QFX5120,0
east,active,ADVA,FSP150,0
northwest,down,Cisco,Catalyst9300,0
northeast,retired,ADVA,FSP150,0
southwest,active,ADVA,FSP150,0
northeast,active,Juniper,MX204,0
central,degraded,ADVA,FSP3000,0
east,active,ADVA,FSP150,0
northeast,active,Cisco,Catalyst9300,0
west,active,Arista,7050X3,0
northeast,active,,,1
southeast,active,,,1
east,active,,,1
northwest,active,Cisco,ISR4431,0
southeast,active,RAD,ETX-2,0
northwest,active,RAD,ETX-2,0
southwest,active,,,1
west,degraded,Cisco,Catalyst9300,0
,active,,,1
,active,ADVA,FSP150,0
northwest,degraded,Arista,7280R,0
central,active,Arista,7050X3,0
west,active,,,1
southwest,active,Cisco,Catalyst9300,0
northwest,active,Arista,7050X3,0
southeast,active,ADVA,FSP150,0
west,active,Arista,7280R,0
,active,,,1
west,active,Arista,7050X3,0
northeast,degraded,Arista,7050X3,0
northwest,active,Arista,7050X3,0
west,active,Juniper,QFX5120,0
southwest,active,Cisco,Catalyst9300,0
central,active,Cisco,Catalyst9300,0
northwest,active,Juniper,SRX345,0
central,active,,,1
west,active,Juniper,QFX5120,0
southeast,active,,,1
east,active,,,1
northeast,active,Cisco,Catalyst9300,0
northeast,degraded,ADVA,FSP150,0
east,active,,,1
northwest,degraded,Cisco,Catalyst9300,0
southeast,active,ADVA,FSP150,0
northwest,active,Cisco,Catalyst9300,0
northwest,active,Juniper,QFX5120,0
west,active,ADVA,FSP150,0
west,active,Juniper,QFX5120,0
east,active,Cisco,Catalyst9300,0
west,degraded,Juniper,QFX5120,0
east,active,Arista,7050X3,0
southwest,degraded,ADVA,FSP3000,0
southeast,active,ADVA,FSP3000,0
northeast,active,Juniper,QFX5120,0
northwest,active,RAD,ETX-2,0
central,active,Juniper,QFX5120,0
southwest,active,Cisco,Catalyst9300,0
northwest,active,Cisco,Catalyst9300,0
west,active,Cisco,Catalyst9300,0
central,active,Cisco,Catalyst9300,0
central,active,Juniper,QFX5120,0
east,down,Arista,7280R,0
northeast,degraded,Cisco,Catalyst9300,0
,degraded,,,1
northwest,degraded,Juniper,MX204,0
central,active,Arista,7050X3,0
northeast,active,Juniper,QFX5120,0
southwest,active,Arista,7280R,0
southwest,active,Juniper,QFX5120,0
southwest,active,ADVA,FSP150,0
west,active,Arista,7280R,0
northwest,active,Arista,7280R,0
,active,,,1
west,active,Cisco,Catalyst9300,0
northeast,active,,,1
,degraded,,,1
northeast,active,Juniper,QFX5120,0
northwest,active,ADVA,FSP3000,0
west,active,ADVA,FSP150,0
southeast,active,Cisco,Catalyst9300,0
northeast,degraded,ADVA,FSP3000,0
central,degraded,Juniper,SRX345,0
east,active,,,1
northwest,active,Juniper,QFX5120,0
central,active,Juniper,SRX345,0
northwest,active,Arista,7050X3,0
west,retired,,,1
east,active,Juniper,QFX5120,0
west,degraded,Juniper,SRX345,0
central,active,Cisco,Catalyst9300,0
central,active,,,1
northeast,active,Cisco,Catalyst9300,0
,active,RAD,ETX-2,0
northwest,active,Cisco,ISR4431,0
northeast,active,Arista,7050X3,0
northeast,active,RAD,ETX-2,0
,active,,,1
east,active,Arista,7050X3,0
northeast,down,Cisco,Catalyst9300,0
northeast,active,,,1
northeast,active,,,1
northwest,degraded,ADVA,FSP3000,0
west,degraded,Juniper,QFX5120,0
east,active,Arista,7050X3,0
northwest,active,Arista,7280R,0
west,active,,,1
northwest,retired,Cisco,ISR4431,0
central,active,RAD,ETX-2,0
northwest,active,Juniper,QFX5120,0
northwest,active,,,1
west,retired,ADVA,FSP150,0
northeast,active,Arista,7280R,0
east,degraded,Juniper,MX204,0
west,active,,,1
,active,Cisco,Catalyst9300,0
,active,Cisco,Catalyst9300,0
west,active,Cisco,Catalyst9300,0
west,active,Cisco,Catalyst9300,0
central,active,ADVA,FSP150,0
east,degraded,ADVA,FSP150,0
northeast,active,,,1
west,down,ADVA,FSP150,0
central,active,Arista,7050X3,0
east,active,Arista,7050X3,0
east,active,Juniper,SRX345,0
west,active,ADVA,FSP150,0
east,active,Juniper,SRX345,0
northwest,active,,,1
,degraded,ADVA,FSP3000,0
northeast,active,ADVA,FSP3000,0
west,active,Nokia,7750 SR-1,0
northeast,active,Juniper,QFX5120,0
east,active,Cisco,Catalyst9300,0
,active,Juniper,QFX5120,0
,active,,,1
northwest,active,Cisco,Catalyst9300,0
northwest,active,,,1
northwest,active,ADVA,FSP150,0
southwest,down,Juniper,QFX5120,0
northwest,active,Juniper,SRX345,0
southwest,active,Cisco,Catalyst9300,0
east,active,,,1
southeast,active,Arista,7050X3,0
east,down,Cisco,Catalyst9300,0
east,active,Juniper,QFX5120,0
northeast,active,Cisco,ISR4431,0
west,retired,Juniper,SRX345,0
west,active,Arista,7280R,0
northeast,down,,,1
northeast,active,ADVA,FSP150,0
northwest,active,,,1
west,down,Nokia,7750 SR-1,0
,active,Cisco,Catalyst9300,0
east,active,Arista,7280R,0
northwest,active,ADVA,FSP150,0
northeast,degraded,,,1
west,active,ADVA,FSP150,0
northeast,active,Juniper,QFX5120,0
northwest,retired,,,1
west,active,Arista,7050X3,0
west,active,Juniper,QFX5120,0
northeast,active,,,1
,active,RAD,ETX-2,0
northwest,active,RAD,ETX-2,0
northeast,active,,,1
west,active,Juniper,QFX5120,0
east,active,Arista,7050X3,0
southeast,degraded,Arista,7050X3,0
northwest,degraded,,,1
northwest,active,Arista,7050X3,0
west,retired,,,1
northwest,active,ADVA,FSP3000,0
,active,Juniper,MX204,0
northwest,degraded,Juniper,MX204,0
northwest,active,ADVA,FSP150,0
northeast,active,Arista,7050X3,0
northwest,down,Juniper,QFX5120,0
northeast,active,ADVA,FSP3000,0
west,down,Cisco,Catalyst9300,0
northwest,degraded,Juniper,QFX5120,0
west,active,Cisco,Catalyst9300,0
west,active,,,1
east,degraded,Nokia,7750 SR-1,0
northeast,active,Cisco,Catalyst9300,0
southeast,active,Arista,7050X3,0
west,active,RAD,ETX-2,0
west,active,Cisco,Catalyst9300,0
southeast,active,Cisco,Catalyst9300,0
west,active,Arista,7050X3,0
central,active,ADVA,FSP3000,0
central,down,RAD,ETX-2,0
east,active,Cisco,Catalyst9300,0
central,retired,,,1
west,degraded,Cisco,NCS540,0
northwest,active,Cisco,Catalyst9300,0
southeast,active,Cisco,Catalyst9300,0
northeast,active,Cisco,ISR4431,0
west,degraded,,,1
,retired,,,1
west,active,ADVA,FSP150,0
west,active,Cisco,Catalyst9300,0
northwest,active,,,1
west,active,Juniper,QFX5120,0
southeast,active,Cisco,Catalyst9300,0
central,down,,,1
northeast,active,ADVA,FSP3000,0
east,active,Juniper,QFX5120,0
northwest,active,ADVA,FSP150,0
northeast,active,,,1
central,active,Juniper,QFX5120,0
northwest,active,Cisco,Catalyst9300,0
west,active,RAD,ETX-2,0
east,active,Juniper,QFX5120,0
central,active,,,1
west,active,Cisco,Catalyst9300,0
northwest,down,ADVA,FSP3000,0
northeast,active,ADVA,FSP150,0
east,active,Juniper,SRX345,0
northwest,degraded,Arista,7280R,0
northeast,active,Arista,7050X3,0
northwest,active,,,1
east,active,Cisco,ISR4431,0
west,active,Cisco,ISR4431,0
northwest,active,Arista,7050X3,0
northeast,active,Cisco,Catalyst9300,0
northwest,active,Cisco,Catalyst9300,0
northeast,active,Arista,7050X3,0
southeast,active,,,1
,degraded,Arista,7050X3,0
west,active,ADVA,FSP150,0
northwest,active,ADVA,FSP150,0
west,active,ADVA,FSP150,0
west,active,ADVA,FSP150,0
northwest,down,RAD,ETX-2,0
,degraded,,,1
southwest,retired,Arista,7050X3,0
northwest,active,Juniper,QFX5120,0
southwest,active,,,1
northwest,active,Cisco,Catalyst9300,0
northeast,active,Juniper,MX204,0
northwest,active,ADVA,FSP3000,0
east,active,Cisco,Catalyst9300,0
northeast,active,,,1
east,down,Cisco,Catalyst9300,0
central,active,Cisco,Catalyst9300,0
east,active,ADVA,FSP150,0
,degraded,Juniper,QFX5120,0
northwest,active,Cisco,Catalyst9300,0
southeast,degraded,ADVA,FSP150,0
northwest,down,,,1
east,down,Arista,7050X3,0
northeast,degraded,ADVA,FSP3000,0
west,down,Cisco,Catalyst9300,0
northwest,active,ADVA,FSP150,0
southwest,active,RAD,ETX-2,0
southeast,degraded,Arista,7280R,0
northeast,active,Cisco,Catalyst9300,0
northeast,active,Juniper,QFX5120,0
northeast,degraded,ADVA,FSP150,0
northwest,active,Cisco,Catalyst9300,0
southeast,degraded,,,1
west,active,,,1
southeast,active,,,1
northeast,active,Arista,7050X3,0
west,active,ADVA,FSP3000,0
northeast,retired,Cisco,Catalyst9300,0
east,down,Cisco,Catalyst9300,0
northeast,degraded,Juniper,QFX5120,0
west,retired,Juniper,QFX5120,0
central,active,,,1
northeast,active,Cisco,NCS540,0
west,down,,,1
west,active,,,1
west,degraded,Juniper,QFX5120,0
west,active,Cisco,Catalyst9300,0
west,degraded,Arista,7280R,0
central,down,,,1
west,active,Juniper,QFX5120,0
southeast,active,Juniper,QFX5120,0
northwest,active,Cisco,ISR4431,0
northeast,active,ADVA,FSP3000,0
southwest,active,,,1
northwest,retired,ADVA,FSP150,0
northwest,active,Juniper,QFX5120,0
northeast,degraded,,,1
northwest,active,Cisco,ISR4431,0
west,down,ADVA,FSP150,0
northwest,active,Juniper,QFX5120,0
northeast,active,Arista,7280R,0
,active,Cisco,Catalyst9300,0
,active,Cisco,Catalyst9300,0
northeast,degraded,Arista,7280R,0
east,active,Juniper,QFX5120,0
northwest,down,Juniper,MX204,0
northeast,down,RAD,ETX-2,0
northwest,active,ADVA,FSP3000,0
east,active,Cisco,ISR4431,0
west,active,Cisco,Catalyst9300,0
northwest,down,Arista,7050X3,0
northwest,active,Juniper,QFX5120,0
east,degraded,Arista,7050X3,0
northeast,active,,,1
east,active,Juniper,MX204,0
northwest,active,ADVA,FSP3000,0
central,active,ADVA,FSP3000,0
northeast,active,ADVA,FSP150,0
northwest,active,Juniper,MX204,0
,active,Juniper,QFX5120,0
northwest,active,Arista,7050X3,0
northeast,degraded,ADVA,FSP150,0
central,degraded,Nokia,7750 SR-1,0
,degraded,Cisco,Catalyst9300,0
northeast,active,Cisco,Catalyst9300,0
east,retired,Cisco,Catalyst9300,0
west,active,Cisco,Catalyst9300,0
central,active,Juniper,QFX5120,0
northeast,active,Arista,7280R,0
northwest,active,ADVA,FSP150,0
northwest,degraded,,,1
,active,Cisco,Catalyst9300,0
west,active,Cisco,Catalyst9300,0
northwest,active,Arista,7280R,0
northwest,down,Cisco,Catalyst9300,0
northwest,active,ADVA,FSP150,0
southwest,degraded,,,1
west,active,RAD,ETX-2,0
northwest,active,Arista,7050X3,0
west,active,Arista,7280R,0
northwest,degraded,,,1
southwest,down,Arista,7280R,0
northeast,active,Cisco,Catalyst9300,0
east,retired,,,1
,active,Arista,7280R,0
southwest,active,Juniper,QFX5120,0
northwest,down,ADVA,FSP150,0
northwest,active,Cisco,ISR4431,0
southwest,active,,,1
east,active,Juniper,MX204,0
northwest,active,,,1
east,retired,Arista,7050X3,0
northeast,active,Juniper,QFX5120,0
west,active,,,1
northwest,active,Juniper,QFX5120,0
central,active,,,1
northeast,active,Juniper,QFX5120,0
northeast,active,Cisco,Catalyst9300,0
northwest,degraded,,,1
west,active,Cisco,Catalyst9300,0
northwest,active,Cisco,ISR4431,0
northwest,active,Cisco,Catalyst9300,0
northwest,active,,,1
southeast,active,Cisco,Catalyst9300,0
northwest,active,ADVA,FSP150,0
northeast,active,,,1
northwest,active,Juniper,QFX5120,0
northeast,active,,,1
southwest,degraded,Nokia,7750 SR-1,0
northwest,retired,,,1
southeast,degraded,Cisco,ISR4431,0
northeast,active,Juniper,QFX5120,0
southwest,active,ADVA,FSP3000,0
northeast,active,Cisco,Catalyst9300,0
central,degraded,Juniper,MX204,0
west,active,ADVA,FSP150,0
southwest,active,,,1
northwest,active,Cisco,Catalyst9300,0
northeast,degraded,ADVA,FSP3000,0
west,active,Cisco,Catalyst9300,0
southwest,active,Arista,7050X3,0
west,active,Juniper,SRX345,0
central,active,Cisco,Catalyst9300,0
,degraded,Juniper,QFX5120,0
southwest,active,ADVA,FSP150,0
central,degraded,Arista,7050X3,0
east,active,Cisco,Catalyst9300,0
northwest,active,,,1
,active,,,1
,active,RAD,ETX-2,0
central,active,Cisco,Catalyst9300,0
northwest,active,,,1
southeast,down,Arista,7050X3,0
east,active,ADVA,FSP3000,0
east,active,Juniper,QFX5120,0
northeast,active,Cisco,Catalyst9300,0
northwest,active,Cisco,Catalyst9300,0
northeast,active,Juniper,QFX5120,0
,degraded,Juniper,QFX5120,0
central,active,Cisco,Catalyst9300,0
northwest,active,Nokia,7750 SR-1,0
northeast,active,Cisco,Catalyst9300,0
northwest,active,,,1
central,active,ADVA,FSP3000,0
northwest,active,Cisco,Catalyst9300,0
west,degraded,Cisco,Catalyst9300,0
northwest,degraded,Arista,7280R,0
central,active,Juniper,QFX5120,0
northwest,active,Cisco,Catalyst9300,0
west,degraded,,,1
northwest,down,,,1
northeast,active,Cisco,Catalyst9300,0
southwest,active,Cisco,Catalyst9300,0
central,degraded,Juniper,MX204,0
central,degraded,RAD,ETX-2,0
east,degraded,,,1
central,degraded,Juniper,QFX5120,0
northwest,active,Arista,7280R,0
central,active,Cisco,Catalyst9300,0
east,active,Juniper,QFX5120,0
northeast,degraded,Juniper,QFX5120,0
,active,,,1
northwest,active,,,1
west,active,Juniper,QFX5120,0
northeast,down,ADVA,FSP150,0
southwest,active,Juniper,QFX5120,0
southwest,active,Cisco,Catalyst9300,0
northwest,active,Juniper,QFX5120,0
northeast,active,Cisco,Catalyst9300,0
east,active,ADVA,FSP150,0
east,degraded,ADVA,FSP150,0
west,active,,,1
central,active,Juniper,MX204,0
northwest,degraded,Cisco,Catalyst9300,0
northwest,active,Juniper,QFX5120,0
west,active,Arista,7050X3,0
southeast,active,ADVA,FSP150,0
northwest,active,Cisco,NCS540,0
central,degraded,Cisco,ISR4431,0
northeast,down,Cisco,Catalyst9300,0
southeast,active,Juniper,SRX345,0
east,degraded,ADVA,FSP150,0
